channel,linear,time_decay,first_touch,pos_based,last_touch,shapley,markov
a,0.09899,0.098972,0.098915,0.098854,0.0988,0.106914,0.108322
b,,,0.0,,0.0,0.0,0.0
c,,,0.0,,0.0,0.0,0.0
d,0.854626,0.854775,0.854227,0.854683,0.855144,0.84431,0.841734
e,0.046384,0.046253,0.046858,0.046463,0.046056,0.048776,0.049944
f,,,0.0,,0.0,0.0,0.0
