channel,linear,time_decay,first_touch,pos_based,last_touch,shapley,markov
a,0.003912,0.002623,0.007653,0.0039,0.0,0.009162,0.007746
b,,,0.0,,0.0,0.0,0.0
c,,,0.0,,0.0,0.0,0.0
d,0.036291,0.024215,0.072402,0.036271,0.0,0.080917,0.066887
direct,0.957862,0.971872,0.916095,0.957886,1.0,0.905454,0.921619
e,0.001935,0.00129,0.00385,0.001942,0.0,0.004467,0.003748
f,,,0.0,,0.0,0.0,0.0
