channel,linear,time_decay,first_touch,pos_based,last_touch,shapley,markov
a,0.007666,0.007666,0.007653,0.007654,0.007657,0.008274,0.008395
b,,,0.0,,0.0,0.0,0.0
c,,,0.0,,0.0,0.0,0.0
d,0.072429,0.072439,0.072402,0.072434,0.072464,0.072926,0.072491
direct,0.916095,0.916095,0.916095,0.916094,0.916095,0.914768,0.915051
e,0.00381,0.0038,0.00385,0.003817,0.003784,0.004032,0.004062
f,,,0.0,,0.0,0.0,0.0
